,violation_type,latitude,longitude
203,Housing Complaints,42.30067999992257,-71.06796000081239
205,Housing Complaints,42.254170000003974,-71.11746000123124
209,Housing Complaints,42.32437900970575,-71.08681475347481
212,Housing Complaints,42.303960000020105,-71.07182000159436
339,Housing Violations,42.31161000001751,-71.0923400012095
343,Housing Violations,42.31161000001751,-71.0923400012095
379,Housing Complaints,42.31768000000275,-71.05241000126212
381,Housing Complaints,42.320410000133435,-71.06048000145998
383,Housing Complaints,42.3110230000064,-71.08431000092378
384,Housing Complaints,42.316160000045855,-71.07713000123793
385,Housing Complaints,42.349119999751615,-71.08342000125776
391,Housing Complaints,42.30480999996118,-71.07946000128301
394,Housing Complaints,42.30744000000088,-71.05904000128994
395,Housing Complaints,42.35241999992547,-71.15990000136455
396,Housing Complaints,42.35241999992547,-71.15990000136455
397,Housing Complaints,42.35241999992547,-71.15990000136455
398,Housing Complaints,42.31150000002076,-71.0589700012371
399,Housing Complaints,42.28748999999003,-71.07788000121441
400,Housing Complaints,42.284200000109394,-71.09285000152069
402,Housing Complaints,42.31853000000422,-71.0944100012325
405,Housing Complaints,42.34301000002864,-71.08769000123587
406,Housing Complaints,42.280820000002926,-71.0889700011799
407,Housing Complaints,42.280820000002926,-71.0889700011799
409,Housing Complaints,42.26892999996487,-71.10059000128093
412,Housing Complaints,42.316450000195296,-71.09907000139819
413,Housing Complaints,42.295119999994725,-71.07106000128633
414,Housing Complaints,42.31301000004008,-71.06790000125066
418,Housing Complaints,42.31984000000457,-71.06289000123252
419,Housing Complaints,42.3320099997475,-71.03543000145623
420,Housing Complaints,42.31483999997553,-71.09755000128273
421,Housing Complaints,42.33218000038831,-71.03544000099963
423,Housing Complaints,42.3320099997475,-71.03543000145623
425,Housing Complaints,42.284679999802634,-71.06507000161619
426,Housing Complaints,42.34932000000336,-71.17334000123309
498,Housing Violations,42.38711000004081,-71.007620001253
505,Housing Violations,42.27091100003018,-71.10190700119084
634,Housing Complaints,42.302279999854775,-71.06569000141592
635,Housing Complaints,42.302279999854775,-71.06569000141592
637,Housing Complaints,42.34924000004588,-71.15761000124594
640,Housing Complaints,42.33643000028181,-71.03036000152008
642,Housing Complaints,42.29242000045927,-71.05422000157687
644,Housing Complaints,42.29511999990827,-71.07106000164178
645,Housing Complaints,42.358470000025115,-71.06676000126869
649,Housing Complaints,42.320269999970456,-71.06594000127144
651,Housing Complaints,42.34519000030294,-71.0773500010935
655,Housing Complaints,42.320269999970456,-71.06594000127144
656,Housing Complaints,42.26934000044949,-71.14961000097205
657,Housing Complaints,42.35420999969544,-71.07791000093167
659,Housing Complaints,42.316410000133295,-71.07142000112653
660,Housing Complaints,42.3589440002575,-71.07090700093013
661,Housing Complaints,42.30913999997751,-71.07811000121326
662,Housing Complaints,42.29464999978496,-71.07414000151749
664,Housing Complaints,42.344520000012736,-71.07436000095679
665,Housing Complaints,42.38015568467755,-71.02916398628423
666,Housing Complaints,42.286679999984614,-71.06385000124652
667,Housing Complaints,42.31138999998388,-71.07697000118277
683,Housing Complaints,42.28658659181255,-71.04894089310385
684,Housing Complaints,42.332202413767476,-71.09957157747077
685,Housing Complaints,42.24994500030542,-71.13475100131609
687,Housing Complaints,42.35151999978508,-71.1645800012842
690,Housing Complaints,42.31126772184455,-71.07882010336004
693,Housing Complaints,42.29909999987651,-71.06642000094803
697,Housing Complaints,42.32090999985892,-71.06416000110545
700,Housing Complaints,42.30480999996118,-71.07946000128301
701,Housing Complaints,42.35928999999909,-71.05836000081358
703,Housing Complaints,42.351319999574265,-71.12986000156761
705,Housing Complaints,42.346200000004394,-71.07890000123304
706,Housing Complaints,42.29003999996674,-71.12529000127283
774,Housing Complaints,42.34092000042986,-71.15310000085937
775,Housing Complaints,42.37966000004117,-71.03269000125694
776,Housing Complaints,42.3542700000123,-71.13625000126794
777,Housing Complaints,42.32244905325208,-71.08316845274167
784,Housing Complaints,42.37636000000513,-71.05912000169181
785,Housing Complaints,42.34248999990814,-71.0774500012708
788,Housing Complaints,42.27906999996704,-71.08775000127585
789,Housing Complaints,42.30679999964259,-71.05903000111691
790,Housing Complaints,42.325549999654214,-71.08661000081281
791,Housing Complaints,42.335000000024884,-71.03195000109653
792,Housing Complaints,42.33567999991015,-71.04345000153513
794,Housing Complaints,42.32379000004426,-71.0588700012667
795,Housing Complaints,42.373730000169175,-71.06559000133588
796,Housing Complaints,42.33754999970128,-71.02979000129758
797,Housing Complaints,42.34092000042986,-71.15310000085937
820,Housing Complaints,42.2933100000168,-71.12114000122102
821,Housing Complaints,42.27331999998033,-71.10786000120457
822,Housing Complaints,42.33450180891271,-71.07532548916845
823,Housing Complaints,42.33450180891271,-71.07532548916845
824,Housing Complaints,42.33450180891271,-71.07532548916845
825,Housing Complaints,42.33218000000404,-71.11135000123276
826,Housing Complaints,42.28229545486836,-71.07096815302918
827,Housing Complaints,42.35913000000464,-71.0541900012333
829,Housing Complaints,42.33803000002839,-71.0955400012441
831,Housing Complaints,42.379199999977324,-71.03947000118869
834,Housing Complaints,42.30905999997341,-71.07799000117366
835,Housing Complaints,42.32136000003013,-71.07818000126088
836,Housing Complaints,42.31161000001751,-71.0923400012095
837,Housing Complaints,42.315519999544506,-71.05309000157273
839,Housing Complaints,42.266999999984385,-71.12128000125915
840,Housing Complaints,42.33531000000679,-71.07890000118972
841,Housing Complaints,42.31380000028175,-71.06860000158261
842,Housing Complaints,42.34202999998597,-71.0822000011897
843,Housing Complaints,42.34552000002199,-71.08920000126423
845,Housing Complaints,42.32439000003056,-71.07742000127114
847,Housing Complaints,42.318724653981945,-71.04207341011158
848,Housing Complaints,42.31159999963877,-71.08518000142561
849,Housing Complaints,42.291079999798576,-71.07549000083308
943,Housing Violations,42.31161000001751,-71.0923400012095
948,Housing Violations,42.31161000001751,-71.0923400012095
970,Housing Complaints,42.30974000001438,-71.10600000124155
971,Housing Complaints,42.290449999600185,-71.06876000090074
977,Housing Complaints,42.37701000032251,-71.06477000131045
978,Housing Complaints,42.316869999979865,-71.11405000122866
990,Housing Complaints,42.31294999982089,-71.05357000128265
991,Housing Complaints,42.33832270950608,-71.04847343078167
995,Housing Complaints,42.2862999999675,-71.08852000118988
996,Housing Complaints,42.29243522069133,-71.09318131117597
999,Housing Complaints,42.34269999970883,-71.14971000115166
1000,Housing Complaints,42.294270000004246,-71.09010000123205
1001,Housing Complaints,42.35793999982797,-71.06597000089506
1002,Housing Complaints,42.29681000042603,-71.05634000120926
1003,Housing Complaints,42.33336017035384,-71.04888568505226
1005,Housing Complaints,42.38622000003728,-71.00358400120406
1007,Housing Complaints,42.34056000000357,-71.15332000123294
1008,Housing Complaints,42.28865000018958,-71.06201000091019
1012,Housing Complaints,42.28145138703114,-71.08642249375188
1015,Housing Complaints,42.3044999999731,-71.07456000117861
1017,Housing Complaints,42.360469999546424,-71.06990000123581
1018,Housing Complaints,42.28507000000421,-71.09531000123184
1021,Housing Complaints,42.3483699999654,-71.07131000127552
1024,Housing Complaints,42.28141000008831,-71.16886000159916
1026,Housing Complaints,42.36568304183685,-71.03030122883237
1253,Housing Complaints,42.30670999990861,-71.06865000114782
1255,Housing Complaints,42.33426000009877,-71.04403000128906
1256,Housing Complaints,42.316869999979865,-71.11405000122866
1263,Housing Complaints,42.28855000002501,-71.06507000120419
1264,Housing Complaints,42.318724653981945,-71.04207341011158
1266,Housing Complaints,42.29569200018197,-71.0530060013493
1267,Housing Complaints,42.29570800000093,-71.05450700121338
1270,Housing Complaints,42.31292000003002,-71.075110001181
1272,Housing Complaints,42.30572000001817,-71.07735000118006
1279,Housing Complaints,42.31427000004344,-71.0538900012374
1281,Housing Complaints,42.30223999996629,-71.07472000126509
1282,Housing Complaints,42.341529203676906,-71.07430268535882
1286,Housing Complaints,42.28538000003621,-71.09329000124399
1287,Housing Complaints,42.332559999943825,-71.03712000104008
1289,Housing Complaints,42.28538000003621,-71.09329000124399
1290,Housing Complaints,42.38241999962264,-71.02039000150249
1291,Housing Complaints,42.341329999990634,-71.07979000119882
1292,Housing Complaints,42.37701000032251,-71.06477000131045
1293,Housing Complaints,42.31830999996593,-71.06434000121673
1295,Housing Complaints,42.3543040004003,-71.13867700155552
1296,Housing Complaints,42.37780000003392,-71.06706000119127
1297,Housing Complaints,42.32697999998172,-71.07974000126616
1298,Housing Complaints,42.37780000003392,-71.06706000119127
1312,Housing Violations,42.32697999998172,-71.07974000126616
1314,Housing Violations,42.32697999998172,-71.07974000126616
1360,Housing Violations,42.30572000001817,-71.07735000118006
1361,Housing Violations,42.30572000001817,-71.07735000118006
1364,Housing Violations,42.2692000000216,-71.0997200012429
1385,Housing Violations,42.30223999996629,-71.07472000126509
1386,Housing Violations,42.30223999996629,-71.07472000126509
1387,Housing Violations,42.30223999996629,-71.07472000126509
1465,Housing Complaints,42.33479000022147,-71.04133000086762
1466,Housing Complaints,42.34554000024442,-71.08974000121542
1467,Housing Complaints,42.30974000001438,-71.10600000124155
1470,Housing Complaints,42.3424699999039,-71.15862000087004
1471,Housing Complaints,42.37811600003626,-71.06574100115301
1473,Housing Complaints,42.29899000020597,-71.0846800008803
1474,Housing Complaints,42.29899000020597,-71.0846800008803
1477,Housing Complaints,42.279990000338955,-71.06490000098528
1478,Housing Complaints,42.30063000000435,-71.08146000123216
1479,Housing Complaints,42.34230999974236,-71.07236000133625
1480,Housing Complaints,42.28375391433849,-71.07039144962201
1481,Housing Complaints,42.25084000020901,-71.133780001543
1484,Housing Complaints,42.37701000032251,-71.06477000131045
1485,Housing Complaints,42.28205000003445,-71.07308000125717
1487,Housing Complaints,42.29370000004619,-71.12073000127639
1488,Housing Complaints,42.26674999971622,-71.10080000107449
1489,Housing Complaints,42.285469999982226,-71.09527000117343
1490,Housing Complaints,42.34509000018801,-71.07231000079871
1491,Housing Complaints,42.32287000000441,-71.07759000123258
1492,Housing Complaints,42.31087100023611,-71.09279000148288
1493,Housing Complaints,42.31087100023611,-71.09279000148288
1494,Housing Complaints,42.28086000003962,-71.0909700012298
1495,Housing Complaints,42.322389999693385,-71.10621000137365
1497,Housing Complaints,42.26381999998171,-71.10271000125955
1498,Housing Complaints,42.32729999997565,-71.10125000118683
1499,Housing Complaints,42.322390000044216,-71.10621000125309
1500,Housing Complaints,42.38711000004081,-71.007620001253
1501,Housing Complaints,42.34145000977231,-71.1453568484409
1503,Housing Complaints,42.273650000004274,-71.09091000123162
1504,Housing Complaints,42.30658000003195,-71.07801000125073
1505,Housing Complaints,42.35727685122017,-71.07035724385351
1506,Housing Complaints,42.31239999960738,-71.07428000081765
1507,Housing Complaints,42.28319000001094,-71.13190000125587
1508,Housing Complaints,42.358449999982795,-71.06695000129044
1509,Housing Complaints,42.34072000002735,-71.07361000123852
1510,Housing Complaints,42.340379999804185,-71.0800400010007
1511,Housing Complaints,42.33182000000409,-71.10769000123277
1512,Housing Complaints,42.340379999804185,-71.0800400010007
1513,Housing Complaints,42.340379999804185,-71.0800400010007
1515,Housing Complaints,42.31430999997821,-71.08015000123045
1516,Housing Complaints,42.31430999997821,-71.08015000123045
1517,Housing Complaints,42.31430999997821,-71.08015000123045
1519,Housing Complaints,42.32932000002396,-71.06924000127249
1520,Housing Complaints,42.37894999976909,-71.03951000155469
1522,Housing Complaints,42.29003999996674,-71.12529000127283
1524,Housing Complaints,42.32814999987478,-71.09334000170388
1538,Housing Violations,42.34314999999595,-71.09080000121745
1588,Housing Violations,42.33431262697409,-71.10095382875087
1589,Housing Violations,42.33431262697409,-71.10095382875087
1596,Housing Violations,42.32287000000441,-71.07759000123258
1599,Housing Violations,42.32287000000441,-71.07759000123258
1660,Housing Violations,42.29569999998178,-71.07452000118977
1679,Housing Violations,42.34314999999595,-71.09080000121745
1680,Housing Violations,42.34314999999595,-71.09080000121745
1702,Housing Violations,42.34314999999595,-71.09080000121745
1703,Housing Violations,42.34314999999595,-71.09080000121745
1710,Housing Violations,42.34314999999595,-71.09080000121745
1711,Housing Violations,42.34314999999595,-71.09080000121745
1712,Housing Violations,42.33182000000409,-71.10769000123277
1725,Housing Violations,42.273650000004274,-71.09091000123162
1726,Housing Violations,42.273650000004274,-71.09091000123162
1727,Housing Violations,42.38711000004081,-71.007620001253
1730,Housing Violations,42.38711000004081,-71.007620001253
1734,Housing Violations,42.38711000004081,-71.007620001253
1735,Housing Violations,42.38711000004081,-71.007620001253
1750,Housing Complaints,42.323540000004286,-71.09030000123259
1751,Housing Complaints,42.3381400000047,-71.04742000123287
1753,Housing Complaints,42.345159999775724,-71.07197000134258
1755,Housing Complaints,42.332120000337625,-71.03750000149353
1756,Housing Complaints,42.33431262697409,-71.10095382875087
1762,Housing Complaints,42.34314999999595,-71.09080000121745
1763,Housing Complaints,42.34314999999595,-71.09080000121745
1764,Housing Complaints,42.34314999999595,-71.09080000121745
1765,Housing Complaints,42.34314999999595,-71.09080000121745
1766,Housing Complaints,42.33336017035384,-71.04888568505226
1767,Housing Complaints,42.282620000173395,-71.08648000110709
1769,Housing Complaints,42.27909999996976,-71.09623000119718
1771,Housing Complaints,42.29157000001198,-71.09032000121961
1774,Housing Complaints,42.37789999998901,-71.03190000119001
1776,Housing Complaints,42.25496000000189,-71.12718000123745
1777,Housing Complaints,42.31062999998735,-71.08700000128705
1778,Housing Complaints,42.26470999996505,-71.1063700012434
1779,Housing Complaints,42.31133999999621,-71.06836000125352
1781,Housing Complaints,42.29704000002943,-71.08399000122685
1783,Housing Complaints,42.29515000041323,-71.11919000164706
1784,Housing Complaints,42.31600999967896,-71.0986700009157
1785,Housing Complaints,42.32209999985178,-71.07006000149224
1786,Housing Complaints,42.33432825245674,-71.07473850426655
1787,Housing Complaints,42.33432825245674,-71.07473850426655
1788,Housing Complaints,42.28420862842352,-71.06447310119985
1791,Housing Complaints,42.37615999974607,-71.03467000145963
1792,Housing Complaints,42.282450000004175,-71.09776000123179
1793,Housing Complaints,42.37615999974607,-71.03467000145963
1794,Housing Complaints,42.35272999978537,-71.12789000157363
1796,Housing Complaints,42.34189000014497,-71.07182000159798
1799,Housing Complaints,42.31981700003504,-71.05445900123688
1800,Housing Complaints,42.28102999968016,-71.15932000161985
1801,Housing Complaints,42.33450999990094,-71.0269400013009
1802,Housing Complaints,42.33450999990094,-71.0269400013009
1803,Housing Complaints,42.27091100003018,-71.10190700119084
1806,Housing Complaints,42.28094000001753,-71.08800000122963
1807,Housing Complaints,42.288726147008475,-71.03954605170864
1808,Housing Complaints,42.35075999986202,-71.07904000079121
1810,Housing Complaints,42.349023367667336,-71.04474172730062
1812,Housing Complaints,42.348358999739105,-71.15421600107761
1813,Housing Complaints,42.28854999996442,-71.07537000121002
1814,Housing Complaints,42.31277858956092,-71.05773140641794
1815,Housing Complaints,42.31773000000453,-71.06445000123247
1817,Housing Complaints,42.32014999989494,-71.07097000117662
1818,Housing Complaints,42.36679999997118,-71.05463000156122
1820,Housing Complaints,42.29464000020464,-71.05530000093431
1821,Housing Complaints,42.2895900000293,-71.05927000125766
1823,Housing Complaints,42.33394699391511,-71.07503497466844
1825,Housing Complaints,42.360180000004505,-71.0684200012333
1826,Housing Complaints,42.28375391433849,-71.07039144962201
1827,Housing Complaints,42.303638539869326,-71.08137194514823
1830,Housing Complaints,42.35416000005585,-71.07816000160736
1839,Housing Violations,42.27091100003018,-71.10190700119084
1840,Housing Violations,42.27091100003018,-71.10190700119084
1855,Housing Violations,42.27091100003018,-71.10190700119084
1933,Housing Violations,42.29157000001198,-71.09032000121961
1939,Housing Violations,42.29157000001198,-71.09032000121961
1957,Housing Violations,42.27604999996274,-71.13375000120884
1997,Housing Violations,42.37789999998901,-71.03190000119001
1999,Housing Violations,42.37789999998901,-71.03190000119001
2000,Housing Violations,42.37789999998901,-71.03190000119001
2001,Housing Violations,42.37789999998901,-71.03190000119001
2013,Housing Violations,42.27091100003018,-71.10190700119084
2053,Housing Violations,42.27113999974061,-71.10944000104608
2101,Housing Violations,42.277270000040346,-71.08500000120546
2118,Housing Complaints,42.255180000039076,-71.1269600012282
2122,Housing Complaints,42.359785000373286,-71.13568400121922
2123,Housing Complaints,42.36314000000455,-71.06430000123336
2134,Housing Complaints,42.34314999999595,-71.09080000121745
2172,Housing Complaints,42.379729999769104,-71.0295600015334
2173,Housing Complaints,42.379729999769104,-71.0295600015334
2174,Housing Complaints,42.31981700003504,-71.05445900123688
2176,Housing Complaints,42.311070000004285,-71.08920000123236
2181,Housing Complaints,42.379730000031046,-71.02956000117615
2186,Housing Complaints,42.37960999958817,-71.03190000145426
2187,Housing Complaints,42.34935116162745,-71.1319790298658
2189,Housing Complaints,42.34002000001685,-71.14462000121854
2190,Housing Complaints,42.34002000001685,-71.14462000121854
2191,Housing Complaints,42.28808000002165,-71.06707000120274
2194,Housing Complaints,42.320019999989526,-71.08118000123096
2196,Housing Complaints,42.34353127822235,-71.06485309190741
2198,Housing Complaints,42.35122999988543,-71.0839100013463
2199,Housing Complaints,42.34515158034432,-71.0628322024422
2201,Housing Complaints,42.34602341961424,-71.06246091596253
2202,Housing Complaints,42.379199999977324,-71.03947000118869
2205,Housing Complaints,42.283159999959935,-71.13218000119474
2207,Housing Complaints,42.300305264668715,-71.081336898392
2208,Housing Complaints,42.33024999961568,-71.10290000082547
2219,Housing Complaints,42.30974000001438,-71.10600000124155
2220,Housing Complaints,42.34353127822235,-71.06485309190741
2222,Housing Complaints,42.31161999968933,-71.1100500012683
2223,Housing Complaints,42.31161999968933,-71.1100500012683
2225,Housing Complaints,42.31111000038726,-71.0771600013946
2226,Housing Complaints,42.36887000001518,-71.03559000117995
2229,Housing Complaints,42.346991000013425,-71.1367440012549
2231,Housing Complaints,42.32729999997565,-71.10125000118683
2234,Housing Complaints,42.27005930783243,-71.09946881709988
2236,Housing Complaints,42.30635000000434,-71.08409000123225
2237,Housing Complaints,42.3596299999802,-71.06488000118135
2239,Housing Complaints,42.34092000042986,-71.15310000085937
2240,Housing Complaints,42.307020000004464,-71.07213000123228
2241,Housing Complaints,42.24023999987225,-71.14243000092577
2242,Housing Complaints,42.34260000002161,-71.08417000124156
2244,Housing Complaints,42.301550999529816,-71.08352200150723
2245,Housing Complaints,42.28538000003621,-71.09329000124399
2246,Housing Complaints,42.3180138822007,-71.06694953976299
2254,Housing Complaints,42.33426000009877,-71.04403000128906
2256,Housing Complaints,42.338992662719285,-71.15488066042599
2260,Housing Complaints,42.352050000002066,-71.08411000124887
2261,Housing Complaints,42.3316900003273,-71.04054000137681
2262,Housing Complaints,42.26970999996149,-71.09901000126563
2263,Housing Complaints,42.35873000027804,-71.06456000147176
2285,Housing Violations,42.26970999996149,-71.09901000126563
2300,Housing Violations,42.34260000002161,-71.08417000124156
2301,Housing Violations,42.34260000002161,-71.08417000124156
2381,Housing Complaints,42.28144999999324,-71.07127000119277
2383,Housing Complaints,42.34554000024442,-71.08974000121542
2384,Housing Complaints,42.282899999969906,-71.08029000125788
2387,Housing Complaints,42.359226673700654,-71.12588903424889
2388,Housing Complaints,42.359226673700654,-71.12588903424889
2392,Housing Complaints,42.27526999998664,-71.12530000123967
2396,Housing Complaints,42.36887000001518,-71.03559000117995
2397,Housing Complaints,42.36887000001518,-71.03559000117995
2398,Housing Complaints,42.33394699391511,-71.07503497466844
2399,Housing Complaints,42.30341000004081,-71.07390000121221
2400,Housing Complaints,42.33450180891271,-71.07532548916845
2401,Housing Complaints,42.33450180891271,-71.07532548916845
2403,Housing Complaints,42.29003999996674,-71.12529000127283
2412,Housing Complaints,42.27392000003566,-71.10711000121242
2413,Housing Complaints,42.272040000028326,-71.07176000121184
2415,Housing Complaints,42.28792999996227,-71.08976000126873
2416,Housing Complaints,42.31983999996637,-71.06551000122951
2417,Housing Complaints,42.295309999663736,-71.08534000162712
2418,Housing Complaints,42.29243522069133,-71.09318131117597
2422,Housing Complaints,42.2728999999144,-71.11977000145781
2424,Housing Complaints,42.34527999994197,-71.10477000161299
2425,Housing Complaints,42.36694999999296,-71.05480000129118
2426,Housing Complaints,42.27485169665111,-71.13594851158201
2427,Housing Complaints,42.32279000000728,-71.08821000122559
2428,Housing Complaints,42.36082442344365,-71.06893588609681
2429,Housing Complaints,42.291480000298726,-71.07693000154956
2431,Housing Complaints,42.282899999969906,-71.08029000125788
2432,Housing Complaints,42.30297999974401,-71.06313000130358
2433,Housing Complaints,42.285129999835796,-71.08476000100177
2436,Housing Complaints,42.37402000001219,-71.0336900012606
2437,Housing Complaints,42.37402000001219,-71.0336900012606
2439,Housing Complaints,42.30251399986882,-71.16552700080808
2443,Housing Complaints,42.27907000014221,-71.08775000115651
2508,Housing Violations,42.353090000003746,-71.14082000123321
2510,Housing Violations,42.353090000003746,-71.14082000123321
2606,Housing Violations,42.27314000000394,-71.11978000123162
2617,Housing Complaints,42.31174000000239,-71.10938000128341
2621,Housing Complaints,42.29595000000438,-71.07853000123207
2622,Housing Complaints,42.31367000003484,-71.06354000125226
2623,Housing Complaints,42.337356641297006,-71.07958481461324
2624,Housing Complaints,42.31092999999271,-71.08679000126374
2628,Housing Complaints,42.233450000032185,-71.13337000119907
2629,Housing Complaints,42.37957399973876,-71.03620900139191
2630,Housing Complaints,42.353179999846894,-71.07986000088715
2631,Housing Complaints,42.3190099999714,-71.09995000127667
2632,Housing Complaints,42.374689999965746,-71.03518000127927
2635,Housing Complaints,42.374689999965746,-71.03518000127927
2637,Housing Complaints,42.28129999954317,-71.06048000141465
2638,Housing Complaints,42.28129999954317,-71.06048000141465
2640,Housing Complaints,42.260880000022475,-71.11260000120016
2642,Housing Complaints,42.279930000004406,-71.07636000123175
2647,Housing Complaints,42.29244999996572,-71.07625000119674
2648,Housing Complaints,42.38176999997749,-71.02006000128318
2649,Housing Complaints,42.38176999997749,-71.02006000128318
2652,Housing Complaints,42.26793999998692,-71.10123000127146
2653,Housing Complaints,42.2692000000216,-71.0997200012429
2654,Housing Complaints,42.37930000000453,-71.06367000123367
2656,Housing Complaints,42.3444900000084,-71.08776000124989
2657,Housing Complaints,42.359779999992746,-71.13652000122548
2658,Housing Complaints,42.3138200000044,-71.07679000123241
2659,Housing Complaints,42.32378000000461,-71.05660000123261
2661,Housing Complaints,42.37804999996954,-71.03417000128667
2663,Housing Complaints,42.37905400004029,-71.06526500168262
2664,Housing Complaints,42.301340000013965,-71.06991000125144
2666,Housing Complaints,42.29005000004708,-71.04008000121084
2674,Housing Complaints,42.319260000029956,-71.07237000122437
2711,Housing Violations,42.3444900000084,-71.08776000124989
2712,Housing Violations,42.3444900000084,-71.08776000124989
2713,Housing Violations,42.3444900000084,-71.08776000124989
2714,Housing Violations,42.3444900000084,-71.08776000124989
2719,Housing Violations,42.29244999996572,-71.07625000119674
2729,Housing Violations,42.29244999996572,-71.07625000119674
2754,Housing Violations,42.2692000000216,-71.0997200012429
2769,Housing Violations,42.26793999998692,-71.10123000127146
2840,Housing Violations,42.321430000004455,-71.07244000123255
2843,Housing Violations,42.321430000004455,-71.07244000123255
2845,Housing Violations,42.321430000004455,-71.07244000123255
2849,Housing Violations,42.26793999998692,-71.10123000127146
2855,Housing Violations,42.26793999998692,-71.10123000127146
2892,Housing Complaints,42.35809000003978,-71.13278000117556
2894,Housing Complaints,42.30049000015218,-71.06749000074399
2895,Housing Complaints,42.35376599992239,-71.1480810015077
2898,Housing Complaints,42.358470000025115,-71.06676000126869
2901,Housing Complaints,42.28360999989486,-71.14367000143908
2904,Housing Complaints,42.30699593506475,-71.06846468562046
2905,Housing Complaints,42.313659886491905,-71.07971743042111
2906,Housing Complaints,42.31691729749125,-71.07827959138746
2908,Housing Complaints,42.37793000000432,-71.03032000124269
2911,Housing Complaints,42.29595000004096,-71.07853000120916
2912,Housing Complaints,42.30086999997685,-71.08490000124544
2913,Housing Complaints,42.30086999997685,-71.08490000124544
2914,Housing Complaints,42.31442999964592,-71.09250000168007
2915,Housing Complaints,42.31442999964592,-71.09250000168007
2916,Housing Complaints,42.32540999999353,-71.09655000122207
2917,Housing Complaints,42.35053999962426,-71.13373000105892
2918,Housing Complaints,42.323784000084316,-71.05884500157762
2919,Housing Complaints,42.32338000004661,-71.10693000122559
2921,Housing Complaints,42.30728999970381,-71.08514000144083
2923,Housing Complaints,42.36595000034292,-71.05089000094496
2924,Housing Complaints,42.282899999969906,-71.08029000125788
2925,Housing Complaints,42.353110000272665,-71.08012000108104
2926,Housing Complaints,42.383311228036106,-71.07388642201353
2928,Housing Complaints,42.37256200025902,-71.06391400141352
2929,Housing Complaints,42.31601000000436,-71.07890000123245
2930,Housing Complaints,42.255120000016106,-71.12726000127445
2932,Housing Complaints,42.359226673700654,-71.12588903424889
2935,Housing Complaints,42.29003999996674,-71.12529000127283
2936,Housing Complaints,42.33784000000364,-71.14770000123289
2961,Housing Violations,42.31142000000462,-71.05707000123236
3041,Housing Violations,42.31042599996982,-71.06982200119495
3093,Housing Violations,42.253140000007015,-71.12118000128058
3120,Housing Violations,42.25239000000386,-71.12878000123123
3121,Housing Violations,42.25239000000386,-71.12878000123123
3122,Housing Violations,42.25239000000386,-71.12878000123123
3123,Housing Violations,42.25239000000386,-71.12878000123123
3136,Housing Violations,42.383311228036106,-71.07388642201353
3142,Housing Violations,42.28538342229249,-71.08388500316491
