,violation_type,latitude,longitude
24,Housing Complaints,42.281200000318606,-71.0721500014993
25,Housing Complaints,42.34554000024442,-71.08974000121542
26,Housing Complaints,42.34554000024442,-71.08974000121542
29,Housing Complaints,42.29956999998434,-71.06851000123216
31,Housing Complaints,42.325049999977644,-71.09353000150546
33,Housing Complaints,42.342240000024006,-71.08468000127817
35,Housing Complaints,42.27906999996704,-71.08775000127585
36,Housing Complaints,42.31921581398303,-71.0841926359352
38,Housing Complaints,42.31696651705881,-71.07682559016949
39,Housing Complaints,42.352050000002066,-71.08411000124887
40,Housing Complaints,42.34738000000056,-71.13679000118908
41,Housing Complaints,42.316160000045855,-71.07713000123793
42,Housing Complaints,42.27257000000453,-71.06544000123161
44,Housing Complaints,42.25676000000373,-71.1408200012313
47,Housing Complaints,42.378580000033374,-71.03899000121534
48,Housing Complaints,42.31005000004615,-71.05631000117809
52,Housing Complaints,42.30921000003203,-71.08645000118176
53,Housing Complaints,42.346719999967405,-71.14827000119804
54,Housing Complaints,42.345157043371685,-71.06335020724558
55,Housing Complaints,42.33450180891271,-71.07532548916845
56,Housing Complaints,42.301560000004415,-71.07730000123216
61,Housing Complaints,42.31737000032781,-71.10604000162998
62,Housing Complaints,42.26912000004437,-71.09585000128823
63,Housing Complaints,42.33450180891271,-71.07532548916845
64,Housing Complaints,42.351980000031254,-71.06148000124948
65,Housing Complaints,42.33450180891271,-71.07532548916845
66,Housing Complaints,42.33450180891271,-71.07532548916845
67,Housing Complaints,42.29140999970339,-71.08947000134863
69,Housing Complaints,42.28752999984547,-71.07271000131661
171,Housing Complaints,42.35852056818944,-71.07049575936007
172,Housing Complaints,42.33046799971378,-71.05814200153947
173,Housing Complaints,42.2954099999991,-71.05849000120244
174,Housing Complaints,42.29004000040619,-71.12529000138855
175,Housing Complaints,42.33141999956447,-71.03041000114781
180,Housing Complaints,42.28538000003621,-71.09329000124399
181,Housing Complaints,42.34860000004106,-71.07440900119057
183,Housing Complaints,42.30149999987137,-71.05628000121236
184,Housing Complaints,42.283710000043115,-71.07684000124493
185,Housing Complaints,42.341990000021575,-71.14639000120513
187,Housing Complaints,42.34939404361916,-71.1653056231542
188,Housing Complaints,42.26988000017879,-71.1002900009932
189,Housing Complaints,42.35361000001205,-71.1254300012177
191,Housing Complaints,42.28551000003899,-71.05397000117466
192,Housing Complaints,42.31682000014191,-71.07045000138109
193,Housing Complaints,42.255090000092565,-71.14055000158571
194,Housing Complaints,42.33201000000997,-71.03543000121759
196,Housing Complaints,42.332080000028675,-71.08432000127183
200,Housing Complaints,42.290279999803204,-71.13324000090422
