code,latitude,longitude
CMR410.482 A,42.31161000001751,-71.09234000120948
CMR410.500,42.31161000001751,-71.09234000120948
CMR410.482 A,42.31161000001751,-71.09234000120948
CMR410.482 A,42.31161000001751,-71.09234000120948
CMR410.500,42.31161000001751,-71.09234000120948
CMR410.482 A,42.31161000001751,-71.09234000120948
CMR410.351 B,42.38711000004081,-71.007620001253
CMR410.482 A,42.27091100003018,-71.10190700119084
116,42.28333399981036,-71.1120340009656
102.8,42.28333399981036,-71.1120340009656
105.1,42.3674199998179,-71.03594000159866
105.1,42.36645000003214,-71.03548500121265
3310.2,42.38944000042196,-70.99597000081944
105.1,42.37525400027996,-71.03697300153544
R114.2,42.37525400027996,-71.03697300153544
105.1,42.38760999964584,-71.00782000124134
116,42.30295409126405,-71.08493063605276
116,42.34585421143467,-71.143031633272
105.1,42.37285999964573,-71.03687000119795
105.1,42.35764000043235,-71.06825000166792
105.1,42.359254513064776,-71.06452012634897
116,42.29132000011741,-71.11466000146923
116,42.27076000023947,-71.09398000153615
Article 4 Section 4-3,42.317139999583645,-71.0672700014397
CMR410.500,42.31161000001751,-71.09234000120948
CMR410.351 A,42.31161000001751,-71.09234000120948
CMR410.501 A,42.32717000004778,-71.05349000123188
CMR410.351 A,42.31161000001751,-71.09234000120948
CMR410.500,42.31161000001751,-71.09234000120948
CMR410.351 A,42.31161000001751,-71.09234000120948
CMR410.351 A,42.31161000001751,-71.09234000120948
104.6,42.3188199996904,-71.053440001521
102.8,42.31243000008201,-71.07190000085836
105.1,42.38208999975917,-71.03950000107064
111.1,42.33567999990986,-71.04375000092647
105.1,42.3357493843525,-71.03916637486529
105.1,42.33684000030414,-71.0259400009977
105.1,42.33885285902013,-71.04746418783822
102.8,42.32041000013344,-71.06048000145998
102.8,42.33245000023179,-71.03583000099862
105.1,42.340719291694406,-71.0530546491703
107.4,42.263150000167016,-71.10260000139701
105.1,42.33167799978054,-71.04705000109529
105.1,42.33857999957085,-71.0471100011598
1001.3.2,42.33261000046099,-71.04731000135786
105.1,42.3319600001616,-71.04537000095364
102.8,42.33772699981325,-71.07093600137836
105.1,42.33739900000511,-71.03919000119092
CMR410.451,42.30223999996629,-71.07472000126509
CMR410.200 A,42.30223999996629,-71.07472000126509
CMR410.190,42.30223999996629,-71.07472000126509
116,42.305433999550495,-71.11933500116562
CMR410.550 B,42.30572000001817,-71.07735000118006
116,42.34966000038629,-71.07992000088659
CRM410.550 D,42.30572000001817,-71.07735000118006
Ch.16-26.4,42.37935999977529,-71.03890000126096
CMR410.500,42.32697999998172,-71.07974000126615
CMR410.500,42.32697999998172,-71.07974000126615
CMR410.500,42.32697999998172,-71.07974000126615
CMR410.500,42.32697999998172,-71.07974000126615
CMR410.550 B,42.32697999998172,-71.07974000126615
CMR410.500,42.32697999998172,-71.07974000126615
CMR410.550 B,42.26920000002159,-71.09972000124291
CMR410.550 B,42.26920000002159,-71.09972000124291
CMR410.351 A,42.32287000000441,-71.07759000123258
CMR410.351 A,42.32287000000441,-71.07759000123258
CMR410.482 A,42.32287000000441,-71.07759000123258
CMR410.482 A,42.32287000000441,-71.07759000123258
CMR410.550 B,42.27365000000427,-71.09091000123162
CMR410.500,42.27365000000427,-71.09091000123162
CMR410.351 A,42.38711000004081,-71.007620001253
CMR410.500,42.38711000004081,-71.007620001253
CMR410.500,42.38711000004081,-71.007620001253
CMR410.602 D,42.38711000004081,-71.007620001253
CMR410.351 A,42.38711000004081,-71.007620001253
CMR410.481,42.38711000004081,-71.007620001253
CMR410.200 A,42.33431262697409,-71.10095382875087
