,Location,Hot Water,Potable Water,Heating Facilities Required,Temperature Requirements,Asbestos Material,Use of Lead Paint Prohibited,Safe Condition,Smoke Detectors and Carbon Monoxide Alarms,Total
3,02128,9,0,20,11,0,0,4,51,95
2,02124,9,2,9,9,0,0,1,62,92
1,02121,12,1,15,11,0,1,1,51,92
7,02114,5,0,13,9,0,0,5,45,77
0,02119,16,0,11,8,0,0,1,29,65
11,02127,4,0,18,9,0,0,1,29,61
5,02130,8,1,11,5,0,0,2,23,50
6,02126,7,0,6,1,0,0,3,30,47
4,02118,9,0,8,4,0,0,0,22,43
10,02136,5,0,1,0,0,1,2,34,43
60,02122,0,0,8,4,0,0,3,23,38
9,02125,5,1,5,7,0,0,0,19,37
8,02131,5,0,4,4,0,0,1,22,36
14,02186,3,1,6,4,0,0,1,14,29
21,02135,2,0,3,6,0,0,0,16,27
15,02368,3,1,2,0,0,0,0,20,26
54,02169,1,0,2,1,0,0,2,12,18
63,02116,0,0,2,5,0,0,0,11,18
13,02445,3,0,1,1,0,0,2,10,17
48,02021,1,0,5,1,0,0,1,8,16
46,02134,1,0,0,4,0,0,1,10,16
26,02026,1,0,1,0,0,0,0,13,15
18,02120,2,0,2,2,0,0,0,7,13
95,02446,0,0,1,5,0,0,0,7,13
34,02171,1,0,2,3,0,0,0,5,11
69,02115,0,0,2,2,0,0,0,6,10
110,02222,0,0,0,5,0,0,0,5,10
128,02481,0,0,0,0,0,0,0,7,7
64,01801,0,0,2,0,0,0,0,5,7
39,02129,1,0,0,0,0,0,0,5,6
65,02127-2791,0,0,2,3,0,0,0,1,6
44,02301,1,1,2,1,0,0,0,1,6
19,02119-2230,2,0,3,1,0,0,0,0,6
94,02467,0,0,1,2,0,0,1,2,6
127,02459,0,0,0,0,0,0,1,4,5
67,02184,0,0,2,1,0,0,0,2,5
129,02109,0,0,0,0,0,0,0,5,5
23,02130-2587,2,0,0,0,0,0,1,2,5
59,02150,0,1,1,1,0,0,0,2,5
36,02155,1,0,1,0,0,0,0,3,5
17,01890,2,0,1,1,0,0,0,0,4
29,02151,1,0,0,0,0,0,0,3,4
133,02132,0,0,0,0,0,0,0,4,4
132,01201,0,0,0,0,0,0,0,4,4
131,02054,0,0,0,0,0,0,0,4,4
130,02111,0,0,0,0,0,0,0,4,4
61,02113,0,0,3,1,0,0,0,0,4
98,02210-1747,0,0,1,1,0,0,0,2,4
68,02189,0,0,2,1,0,0,0,1,4
71,02111-2325,0,0,2,1,0,0,0,1,4
70,01776,0,0,2,1,0,0,0,1,4
20,22180,2,0,0,0,0,0,0,2,4
25,02131-3662,1,0,1,1,0,0,0,1,4
111,02186-3536,0,0,0,2,0,0,0,2,4
