,Location,Hot Water,Potable Water,Heating Facilities Required,Temperature Requirements,Asbestos Material,Use of Lead Paint Prohibited,Safe Condition,Smoke Detectors and Carbon Monoxide Alarms,Total
143,546 east broadway,0.0,0.0,4.0,4.0,0.0,0.0,1.0,9.0,8.0
7,6 rockland av,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0
142,20 reverand burke street,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0
0,233 blue hill avenue,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
3,320 washington st,3.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,5.0
144,270 roxbury st,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,5.0
300,10 causeway st,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0
75,40 upton st,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0
79,30 bickford st,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,5.0
167,35 fidelis way,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0
168,70 burbank street,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0
9,316 highland ave,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
159,500 victory rd,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0
148,23 homestead st. apt. 2,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0
157,53 georgia street,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0
102,619 centre st,1.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,4.0
271,c/o j m realty management,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0
85,100 hallet st,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0
145,mercer,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0
146,527 east broadway,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0
50,68 harold st.,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0
150,102 cedar st,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0
138,53 brave water dr,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
72,112 howland st,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0
301,49 coolidge st c/o jake strehike,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
169,183 landham road,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0
2,test,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
33,12 florence st,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
201,29 commonwealth ave,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0
24,95b washington street,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
1,1970 beacon st,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
220,754 blue hill avenue,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
133,8 rockdale st,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
10,1226 hyde park ave,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0
104,116 marcella st,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
8,po box 4308,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
137,53 courtland circle,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
95,38 snell st,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
162,334 north street,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
259,14 selkirk rd #1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
160,7 blueberry hill rd,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
121,143 border st,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
263,"12 florence st, #2",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
261,81 orton marotta wy,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
123,44 mcpherson rd,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
158,261 hebron st. #1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
161,1 fairway drive,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0
154,1010 massachusetts,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
156,40 everett st,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0
155,388 east eighth street,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
250,3 mark lane,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
132,166 tremont st,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
153,536 granite st,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
152,57 white st apt 1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
151,619 centre street,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0
149,167 fawndale rd,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
134,4 stockton st,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
252,115 charles street,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
147,10 kemp,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
